,N,M,L,U,Wt_PB,Wt_PCF,Wt_PE,Wt_PS,Wt_PM,Wt_PRev,Wt_Vol,PNL,avg_PNL,Avg_Return,Sharpe_ratio,Max_Drawdown,std_dev,pct_winning_trades,pct_losing_trades,Final_Port_val
0,2,10,15,20,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-3517308.105205063,-76463.21967837094,-91.0141015069524,-4.419771883870424,3781957.0101157073,20.592488458307205,45.65217391304348,54.347826086956516,7157237.946034461
0,2,10,15,15,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-5595407.072360128,-91727.984792789,-231.6725819048448,-10.70925088403261,6378023.5985429995,21.632940007994993,37.704918032786885,62.295081967213115,5205557.235476062
0,2,10,15,10,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-5970551.577580043,-64897.29975630482,-278.3154257008702,-13.783281045919315,5788912.335095514,20.192247751000362,40.21739130434783,59.78260869565217,5322688.86301066
0,2,10,20,20,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-3848901.3545100964,-83671.76857630644,-108.11120244950443,-5.2205788501600905,4165018.239360396,20.70866192284198,41.30434782608695,58.69565217391305,6811959.468084471
0,2,10,20,15,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-5611706.28514409,-91995.18500236212,-236.64753946230474,-11.298747282962063,6167348.7381802155,20.94458204398971,34.42622950819672,65.57377049180327,5167527.82605485
0,2,10,20,10,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-6011197.534550088,-65339.103636414,-284.62723205825455,-14.208777305991298,5786401.11908624,20.031789219346702,41.30434782608695,58.69565217391305,5262063.270646195
0,2,10,30,20,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-3929322.7847190793,-85420.06053737129,-113.35879922341643,-5.540209295995789,4245152.268767062,20.46110411484761,47.82608695652174,52.17391304347826,6721315.100213516
0,2,10,30,15,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-5414821.931138837,-88767.57264162028,-220.15856856836393,-10.597468813833428,5924509.037688378,20.774637079467457,36.0655737704918,63.934426229508205,5390014.140524274
0,2,10,30,10,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-5624520.379396729,-61136.09108039923,-248.01307799978457,-12.706756989900036,5371641.780455679,19.518204227633984,41.30434782608695,58.69565217391305,5684199.124064226
0,2,10,40,20,-4.839011061635114e-06,4.942760232774219e-08,3.014770511148598e-07,3.1062982580142353e-06,0.9569471925693962,-0.1716827916805004,0.21473698091925436,-3789426.262408581,-82378.8317914909,-105.95626621873298,-5.228878433307005,4091064.454631933,20.26366984242946,47.82608695652174,52.17391304347826,6875402.914348644
