,N,M,L,U,Wt_PB,Wt_PCF,Wt_PE,Wt_PS,Wt_PM,Wt_PRev,Wt_Vol,PNL,avg_PNL,Avg_Return,Sharpe_ratio,Max_Drawdown,std_dev,pct_winning_trades,pct_losing_trades,Final_Port_val
0,2,10,15,20,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-756724.6446136241,-84080.51606818046,-19.494863499557052,-1.3051190827267694,1354536.9579505697,14.937229680855385,33.33333333333333,66.66666666666666,9396623.549184171
0,2,10,15,15,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-681946.7938634504,-56828.89948862087,-15.16040782974199,-0.8320563311924506,1635227.2181624882,18.220410399395735,33.33333333333333,66.66666666666666,9533392.058875093
0,2,10,15,10,-3.442954060070947e-06,4.732742551703074e-08,1.8513188821648165e-07,1.5173177076947119e-06,0.47235819867634965,-0.07524722689400491,0.6028907213946938,-1466148.3314681696,-81452.68508156498,-56.099540721665164,-3.1341860804957524,2120446.3813932054,17.899237403540372,33.33333333333333,66.66666666666666,8842938.944026109
0,2,10,20,20,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-805049.4747097907,-89449.94163442118,-21.37008171360596,-1.4421314332137896,1403353.3756387308,14.818400890120492,22.22222222222222,77.77777777777779,9348102.728791151
0,2,10,20,15,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-746365.1567973342,-62197.09639977785,-17.989603821271515,-0.9870427600175663,1674900.3832805287,18.22575935915011,33.33333333333333,66.66666666666666,9467229.94787403
0,2,10,20,10,-5.706656092194313e-06,5.2420347775270903e-08,2.258076242097474e-07,1.9184231526231594e-06,0.5913875295545153,-0.10598884858306713,0.5146048290335192,-1596050.1755383955,-88669.45419657753,-63.49225635629777,-3.589981078589357,2264033.2891678046,17.685958495705037,33.33333333333333,66.66666666666666,8714709.696894946
0,2,10,30,20,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-931450.6337985913,-103494.51486651014,-26.13318296522434,-1.7499114577606405,1589052.355802117,14.934003003024474,33.33333333333333,66.66666666666666,9221351.357921876
0,2,10,30,15,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-804297.6434702664,-67024.8036225222,-20.58989686407011,-1.1475379812885333,1707347.4637221359,17.94267135363169,33.33333333333333,66.66666666666666,9409970.364642965
0,2,10,30,10,-1.3519621196389926e-05,6.004259785664496e-08,2.9063008805844575e-07,1.310568986978522e-06,0.7854577691197033,-0.1375616838652238,0.3521157731250439,-1663767.3880554365,-92431.52155863536,-66.61287763426202,-3.633092213183403,2371047.5279676393,18.335036306687687,33.33333333333333,66.66666666666666,8653216.293303598
0,2,10,40,20,-4.839011061635114e-06,4.942760232774219e-08,3.014770511148598e-07,3.1062982580142353e-06,0.9569471925693962,-0.1716827916805004,0.21473698091925436,-836325.7006628169,-92925.0778514241,-22.567681568388704,-1.530464393506459,1523345.874586055,14.745642998386726,33.33333333333333,66.66666666666666,9317098.837649208
0,2,10,40,15,-4.839011061635114e-06,4.942760232774219e-08,3.014770511148598e-07,3.1062982580142353e-06,0.9569471925693962,-0.1716827916805004,0.21473698091925436,-609584.4266431141,-50798.7022202595,-12.366401947858998,-0.7095309496570997,1526843.322650306,17.4289817150829,33.33333333333333,66.66666666666666,9607108.709140914
0,2,10,40,10,-4.839011061635114e-06,4.942760232774219e-08,3.014770511148598e-07,3.1062982580142353e-06,0.9569471925693962,-0.1716827916805004,0.21473698091925436,-1627422.4651552383,-90412.35917529101,-64.3693791162481,-3.5262433158643263,2321286.860021062,18.254378200918435,38.88888888888889,61.111111111111114,8693100.682324318
0,2,15,15,20,-3.0234710819753995e-06,4.463359954203656e-08,1.6631059804558052e-07,1.2607388989115287e-06,0.4676782806480192,-0.014145019023810643,0.546468290163777,-801518.0064477273,-89057.5562719697,-20.70738192976406,-1.276258686159625,1460982.789799638,16.225066402544456,33.33333333333333,66.66666666666666,9352858.409666607
0,2,15,15,15,-3.0234710819753995e-06,4.463359954203656e-08,1.6631059804558052e-07,1.2607388989115287e-06,0.4676782806480192,-0.014145019023810643,0.546468290163777,-357341.44886694936,-29778.45407224578,-1.456217721737549,-0.08069326799077078,1323774.2197382543,18.04633469429076,33.33333333333333,66.66666666666666,9860398.620383345
0,2,15,15,10,-3.0234710819753995e-06,4.463359954203656e-08,1.6631059804558052e-07,1.2607388989115287e-06,0.4676782806480192,-0.014145019023810643,0.546468290163777,-1379888.6836671024,-76660.48242595013,-51.57786614206643,-2.8463472581931057,2134329.984447537,18.120721564665537,33.33333333333333,66.66666666666666,8920754.9428192
0,2,15,20,20,-4.8716486880090926e-06,4.816221900326727e-08,1.9646823497223785e-07,1.5360909392369747e-06,0.5686628328376486,-0.02528105315678648,0.4566213112464326,-847706.0298742064,-94189.55887491182,-22.464697843766245,-1.3939962961811234,1461295.0075458419,16.115321041604393,33.33333333333333,66.66666666666666,9307132.285261618
